AccountId,Amount
15gJZFJb7Gm8hPFR12Q7djCKX5rPv8SmJP61zdkc2S1o4n8g,5.20
16ieHcD2cjhWaPSo96nu3DZ8Li31QK1pyKZAEQHm5gELzhfd,200.00
15nvzRLLwMX9PxfYqsD4ShFhTWgCyeCmRKovfqyUmXaCRcz8,60.72
16bJGewiuU7BN2uPVT8gPK4u7meMXo4HUeiSqNBpWgZoA9fh,48.98
127EYq5vggCDx7BSeega396Ae5BGJtWFpD9YnzBa3RLLBU1f,44.88
16Xsd2EPRvBj3y2yGAvfYXE8Hom5XidcTdXv9nfNqznkYawE,10.00
15gJZFJb7Gm8hPFR12Q7djCKX5rPv8SmJP61zdkc2S1o4n8g,50.00
13KLek3vupduRMh8oUe41bMKmJDkkCo6R2bNwHNRAEMkq7Fo,25.00
11YN9ZRNVxxYcpwwWK9o33aGnaEen54gXsb2i2wTcNcFFFa,84.80
14Q74NU7dG4uxiHTSCSZii5T1Y368cm7BNVNeRWmEuoDUGXQ,"1,000.00"
14x3fP2b6SQ2skxKkDE2YKJR53Qsx9aa1rHKniBH8wYDNmjt,61.03
1CcDBtHCdNTcB4rxYrVyChUesr48PBtJnSUFDneUm6JUDip,5.00
139LSK6ruvCY9dskgFgVDXqwfPdvpA97G6ge5UqiH3p42Hki,15.00
16UKRe5rVS5JSPuSN8PpuJhdTMrE7A12t2jgEPfrgnxFG3qN,100.00
16fzBUv37ZT2QjSdrYdqf1W3J33XFwEKaaSVpTRsuhaqK6tv,5.00
16fpKKPWwEQztKF3Hx2CGNekhT2rUdd9chLaPox3odmfrzaC,11.00
1VxKjW6VLrpVZ2jj5dbKYnRHYjDUxnaa3XuyEPJ5dusNXSY,10.00
121sc3kpRUdTJwU5GaTQPRndP9h9oknUa7JJsQoyVdf5332t,20.00
152t32heX676FfGoxFHHbLo1bdXE2AgG9Cz6X2snjZ2NLUnx,10.00
152t32heX676FfGoxFHHbLo1bdXE2AgG9Cz6X2snjZ2NLUnx,10.00
14oiXr9tkvmXVSUC9PirsaKP9iQcPwraCyhBCGkLwSRHF1xY,200.00
16Xsd2EPRvBj3y2yGAvfYXE8Hom5XidcTdXv9nfNqznkYawE,10.00
13eA1ajzEfspkDUtJxgPVSJw8RcmH7p4Uq82vqe3RriDtex2,15.00
155T2ccJCoW1WKjfSpD7sqEafyVjGsLpJRxECZYmRgPxXPB2,15.00
14GwDdjpakrMobaT6WP2zbLrpNVEGVKLo69Zq9JgqXcghiBN,20.00
14E1dw18mewidpV7cbn4ApSYwZhhp5Naywqz4GqTcrkHfVzG,100.00
15AhvLEzMNwzdQWudNTqZu5ApD4fYZLjE2bo1PYev2j852ja,5.00
15mT4G4jJTKvkaK9xnTAxPUVJhwdKLdbtRV4YBCgbs9mqTGC,5.00
13bJ1JUzqBbg1i4QUChWQWfeGCnhyoQSRrghv9C7N34TtuNM,10.00
