AccountId,Amount
112JPQaMP8mtxTfahcffarCyTivKmyWYwJmU8SFbkp7D3Afw,20.00
11Dsxsj2K6fsjst1GuWxEHwJsbBND3kgi3AsZ9mURKcL9Kn,5.00
11MMTZoGvMK441uyMJUh8rmKvmxq2hMNjKHPKVvbLhGgaor,47.98
11T7S33DPuntwgia8CKWWJxfSobuQvSA3f2Lu9UqAhsRaQN,99.00
11jtoktJgTBXmJVZZaEpbKDnXGH2C5XCwcKbssr2R9gTQtQ,10.00
121RWuUWx4JXPSGQbZxxzMHT1KRR4jLptU75G1J3YAHQVKJA,5.00
121xA2dm4HtbFvzWzQqLTkQ9uVUtfDcaBaYFbJ26Cdi8hFV1,105.00
123t4gb7sjJm8Qs23dbYbKK2cbvYUuwGhSLW9gmXoMwY1zMW,35.00
123tz3EGoTyh4em3P9FaiL3yFkYTv4zupi5JnAiPvBpqhnBZ,30.24
1262fqfeKVWf2xeHTqgnHN8YDbD9t1oCchXebKAyGo9QX9RQ,869.16
126CwDu9euxA6JncthMxgr3SmX1Fpatjk3DPTv1LzESurGkv,"1,045.00"
12768BDDQsJHvxp9chQXC3qGY8p21o3KsbVrYbMCVTsPtg4V,5.00
128dbg6DTwCMUPfafGvaseqUFDvo9Uzru25UJ8t8jxqtUWpp,126.50
128fT6UYnxdjphB1FQ1KYz6SSB6f3UnXhaZQgohptGBUwok7,40.00
128pzeWWFdVBHPZsd6x8mq4P8g2Jz2V3HPQJWi93NND8jdVx,20.00
12BH3B6icsSiktaBWMaEPeGcswuB75gYnqHuz8p5R3NBGDF6,15.00
12BfgTCQ7EyunHCNT2DWb2hFeHxBmuBrg5YNeay7nskgkuNZ,120.00
12BmrtJ4ShvzyMb9bGgdBmh2NmzevxJfKZnntEtXt4AwYnXM,140.00
12EkYvuD35aKp4JPscSm1yR8GhrnXAYkG39pbtsQXmBp2Jr1,5.15
12GW3RFVHpM7uXc2r6W3x5n2h3iupuWc1tgfgGfP28T2wuYU,10.00
12HDbp4egwBL4xNqGmbczqBykGdowUSNX9xJD6gWuMwLjCC2,48.00
12LHcrFtG28V6mih9hnqNy5nw8ceA3uWhR2dzH6zB2KVuFFt,40.00
12QfR252BKxmny4vxFU3GUnDmWZ3rM6dfy5vEGxsR563n8F2,100.00
12T6YQXP1NtzKpMRgxt2XSbNAwNaPfAHZmkvoC3t3dywuTpD,10.00
12TDfGwmMFgBoh9iYH8PtQP8nMWdQKzbB5Q44L9sj39ZNcn7,122.00
12TJPkhzEtzs6aWgidwnMWXGcWvTM8M3wV8LpQ6bdF7MAPXW,98.00
12TZcuJhwX5xSiUopwETXv9eLFH7UStB9FdsREuSjdC7XCbx,7.90
12U4CH4FTqevnJJBrjDiM4yGuda1tnL7rKuPocxzriWTrvW6,20.75
12VMyyqV52LjDSGbEJgH4FGhWmfdbLqYKRv3YUNpSKoD2Dbk,200.00
12WRTTiQKqecAu1mNYiBbjQ26jVPwYG4P7nCw3SpT8K4rLZr,20.00
12WUqbHTao7kvkgd9K42jgrPWo9pGPEFTX5gjvxc8QGR3fBC,15.00
12YBC2b7PSgfwJpJocAd5VLaj9aVfwWGL6FRZrCM5dMrMtAz,363.00
12YLsa7F4VXf5dgnikp2e6KpNJMUEzhkpwZhqS2uovHkUdHv,32.00
12ZFQFgHTL2mzwKYnHLmxWfix7YubZpS1nrEHjahbBWamykR,100.00
12bZi3MTHuaiNgLTVnCYwhNSxBnLNsQDciTpXpNNH6xgcXQR,11.00
12e7CJzVvPd4Uc9KQrdy8HRdsNdMXJb4cpKnjyPhhyHvCA9s,275.10
12e7wHc7nraRhD226jLj1CN9QKW2v1cPnVpRZ4v4g8SiVzBm,120.00
12gYQRux7KZVrjXA6nHHzBFod3t48bJXoY6ECF28aXytKAoT,250.00
12gZo9GFH1oQZNyPMrCYFxt8pHLTWzbAhZBRb1Fm4wsFd5e6,90.00
12gicuJd7eid32gb5CTi35NPeaWD1iBuESgSt9Zv4FiwbaPB,15.00
12gvHFDGJcGaCzdr4kVuqgcg5CLNuQyN8DkigZGAMoTLqJiF,5.00
12j53J3WW6MKfPGiD9qzXd87xHzzQQqgeUqKwFq29hAsCmAD,46.20
12j7S6xeA5LrKgKiK4bycEWBs2QdyzmASFtWJey54zWwWwNW,6.00
12jLhX1wviPeBPv1KNUoYK7DarrE3Jw2TRyDnsEU4GeaF5rN,10.00
12jvnWFGtSynR5NgCLwHsMzQiuDCw4GzG62x1fEq5MjMtj44,22.00
12mMudJMr8D7ZQmkmjriw4SvrCnbgTpeWHwPDZYsspWFF7Gt,15.00
12mazihZEkMMt9BqcgpLbywtC6wbPydnk34JsnsVdd6GmbWQ,653.00
12mbDfHqEZ8JJJc2PjSw5Zmme3kGVrS19GvF22v8vfpUGLrH,5.00
12n5boWkQmAsKtd4urH4WL626eAX2jSetw8i6wqcj8xjbjap,345.54
12q4qDCQtokK4v5v3UM2dLVbawgH4AMmpXMgM66ZAkKP4oL2,700.00
