AccountID,Amount
1TsDo5v3wDXYyLumRxBDXGKfJBrh8z8zwLwHYXMTA878v98,10.00
13wf5x9sMwe6nESHH2gYW2jXCrWVrT8wmZNUWaVPhbQduSXg,5.00
16V8e5aP1LcpRUPMmzd1qpSkLv4DkbC411JUSpeAcsD5aMZY,20.00
12vB85zy8avZ8phZeDGL78HaFacfg2X7adNVBW7bcpPcbguK,"1,250.00"
14bQ4efNQConBmkRrn8aLiDVY146C1PjzPQJeEbmmPJJQLFf,143.00
1EDL7dbooj417iYG1i7zNCEDQAmHr7wYpqEKT4UiAbqaD1E,14.90
13CAEr45jhvFDWDS8QuguLwQJb7zGe2LQtCNRsRsAo3MWMG6,15.00
14QuM5EYgAXh81aMineBzyTifuDYe5nyxZVwSp5NcRobxss5,28.00
15GEmbth87LzM9igwctmN1FM49GdEsxE6cE2FyyXdgjp72WW,50.00
14wDp4PZTWSupLXoKduoNi9kN65MRy37nHN2gvALVRdWfXWS,6.00
15oEPUxkXnn1rH5wsNSXSmc7vtLfjZX2tiuQcsVXWFCQ1d6g,9.00
13KmAiw8Xk8y5NKKcUr2Rq45LhqTQyAjKGEWRy7mh4aVPa5u,10.00
16WybGkzaECGQGfYv8x75pNJYUkfVRzkcjgE5QHZFoQoKnSk,44.60
15PVyseBEka4bj8Ue9YnUjHuoW6Bjt3hEnBQzp8dqXKdYUSK,10.00
153S1xe9oyUVNtTqkKJF56TGdLgYLSbd5JHwUruUtZmK85ZB,70.00
139CwhG1YHNNfo99BqPBF4faFL4TXoG6nBLusBQLHw2SQLPt,50.00
1BgXV8JU9cwde3jWh6bNCFi3HtsnkSrdf7zzG63AvJLFnsS,34.00
15VVrgpVrZErutbEJ1Fx3dv9LcBfvMNH7yn3UwcSmHb1k2Xu,22.00
13KLek3vupduRMh8oUe41bMKmJDkkCo6R2bNwHNRAEMkq7Fo,30.00
1Z6csLfdWM5YuzsXQ5bofe4TW2ya86p4MKb8EacXe2XJE5g,162.00
139EAyJnNnEgNjSupeem5H3Te4zHDZfG3aWByWeK9cWx3Hzp,12.00
14j8dHa4YpvHfkGcHqha3L4bmddSXzkxhArWWQEqb1fM411,80.00
1485ra47159wwfn3kpAbPm7KvVQNj9cVChHe4uNkjbxpfJJ6,15.00
12ikSKeXo8CMVFv7TGcdd8BkjJMpyZNEegmMP2BFYzCuSB1r,7.00
15V3xrUJfUTPcpmi4sZciS9S43A3kiXXvVgFn98AQwnzHGQs,20.00
1EhQWnGR6Zv4mN5L7DqwSLcsBsWYoVqG879tf9btQisvuD1,5.00
1E9eUPuECSRewh1ox74JKJJau4wRMEcsE1CWkm4JTdQ3Nz1,10.00
13VbDU3L1HEMMmd9rUMKMBCE7V6euFPNW8TqALjCXpipdk3x,55.00
1got2QxVB1mdnWHZ5onsNaHD7u8R6G3B9wGmC5a43iCXHjr,70.50
14o46rLoqbGjjdgcistW8tHnpFecNBSfmUnFxHwN7y1cn8C,5.00
12ued4AL6pBVVHhBjWZMjuZPwHeQKY1yZHZKT2NJxftJWrGa,10.00
13dkQuPPaiBEG2J7RvPGjT7yxFrLXLmWrnHYrkhTTcDcHnWn,30.00
1261qYHYbFnxsBB3JyybNC2EKACoHrrGntRJdCch7vMuLJbZ,35.00
1HgeGUBRjPFTJy4WYS9BHDvKPJTGMWtKhuRosL9M9Z68Nnn,10.50
