accountId,block_num,amount
14dup2KjtKPeLE2LxpvWNSoauzrp1wzedFVw9Amu33qHHZBu,10190174,28
12axftwKo6rqnYvD7m6zY6FjW1uncm5sgKsMuMKr5z5eji9h,10190169,150.5
14fgEfvWc1tJcQCccUpkFHRUyrVnmRkF3f1NRYKFhntpb69r,10190147,85
15JymqShF54JkMXVC896tiF3NhdrVufyAzi2whNNT6z3rBJY,10190138,36
167VjfgXsnVdJfEsKRXXDwwBs5dyUcZ9LqNmPUoz5xtEMKuh,10190112,20
13NHrckmiBgfTtUerzZdmPXvTqiDzFwvwMLgb6SGx4eQZH3o,10190104,20
1Ru3QeBtHuByXii1C6Z48g6CyTctUU7LmHdE8U4ECPhetCG,10190082,65
1344zprT7A4VFrQ46GJycLrjhBoYjf1RcsjbRLmk5DtsYshV,10190067,52043.7979
155N17juN4U75nvZxGvvV86WYMQayDJkEU6NYadUPmbuxhtu,10190030,10
15Ghd7dbSkZjhdB54Lw2VQYqCuKy5p7seLLExKstxCHq9AuF,10190027,11
15ANrgMKRYJe4TbFL19PjxUrNAwEwUeZhF8NLxioP7NvEX7t,10190009,15
1jaMfMqgbXCv6SrvrBMVwiCBTGYWqweDEAXAru4YJywaE1M,10189971,5
1yA4xfwJ5tk33WVTq2sf4XGo43MFoFyEwHsHy4PYhHNLSWB,10189954,10
15MZLAQCu1wTguw3PrF4ucS1rJWjQvCTVXPK5fGybHaoJS1J,10189870,56.1113
15iXwLTKWFXTSbvuZ9jWq1y8dNsCyM98jbj8JeVXGDxa2qiH,10189798,5
12zucDZREu7VTjVp5TzjWMqKnGZvMWv6kAS4oBCUMdaJGTgK,10189789,10
163B1pavo62vi4dq5LZTiXCGW8r1thr7CH7eaiCDCE9UYwuT,10189774,91.6
147wp4BCx5gV6kXtNn25E8HqhsXQy4uki39K3YGd5tkgk4oP,10189752,1000
13MiShWZeRcVrEgkmS6GdRyASZpFdSBseQiWBnEPXxmWa3UV,10189689,12
13afyec2xomVj64UZXwj4zBMgyu64ySdKsr1mv93XafefNer,10189669,205
13rWYJ2DWj4ZQrZWfVJRJXqVSaQfd34QmRJrsJdSsApnnmK,10189631,26023.59667
14AvVRPosLAjnDYYzV6YcvNsqGM3EdaN1cUp137s155XtbvE,10189551,5
12BVEUJqzLn9bf8BdHVkJvEwotGsUmLy8GkUhZajCV1VJEdG,10189510,8
14DJd1GJYYDWxnxFBVgZYBimaaUdYWM17kyJPZFvfUdjX8Es,10189425,125
14AMZ3gw4tRsrdp78i4MmHZ8EFbXTMfuXGQMEC3t1GoqLboH,10189320,55455.54211
1mrf4reEVgNHU96LAYtXsRU4RPpuettBP3u5ifEP2NWwUnt,10189242,54
167r7zCPjxSF4kAz8cS1LC6dJPMZbghySvckLrsCv9EKmc5j,10189201,10
12ut27L4okigkaxBEsd57cPNHpQPnvNnx2fGAnUVZx1uf86e,10189187,8
13g3DqQCVUbknJujaspaeSQjeB3f6orMvqkYXBQ1MVfXYh5e,10189187,100
12NLKhZ17eGVGpMKs7t42wTBmQB3ayh8GWCwZSqQ8snxhHvv,10189170,25
12YR7AhWyeRugKCvGpNWmioygVaAzK8v8b1G3ypeRoToW6LP,10189169,5
14EPC67wmYeZQqsQF5wafv71f5xW5rWW36YALWt7YktrHuxd,10189161,5
1EikbQyUhbrW9jAqFhLTt6fd6HfP58T37Tywsa44R72i1JC,10189135,300
1298y1MbqL3xYqnARjXaJJetcBANPpMRNM1GmRRh4N2Rogrf,10189135,10.02
12F52gNr3b2VyM6oQAmetVMLX2qD2acjZha5rmADRNNraSuf,10189134,10.02
16XgmLkjHLM3SoMfzpFPQqLZ9tNTxggHwsixNz6rdE9oZf4q,10189131,10.02
152Tgro7Hyojwfnv4bwrdnFqBmpXVyCHQTuBJr5N1p48XFmT,10189128,10.02
14mnnwtXoMzrVuVqobBnvhMGQ33o8d4niyvDAGEx4GWfkC46,10189126,10.02
12CRwJWvCRKVgUjZ3GDgsAEAuPjPMB6EeYuN2dwF55pTtkE5,10189125,10.02
13BGZEgH732Rny3NWMcSWnXkTVPNYg6vDSCrNzMhUrqgaxPf,10189123,10.02
129HrbjEr11no1CfCkdUBFBpdQg6F5yDShddg752iyn82Yju,10189121,10.02
12TqQCyKxgha36sgjdgHrWaV1UyiEbJVxrRbHBGyAQdb1khc,10189118,10.02
1EvbcMGyHq8QjXxFrscA8brcTHhTLnJ5eo87vCtoZA8pynS,10189116,10.02
13gyXMmEi37jPev8NWJ3LzvyLmg2FvzrXvGe4kxRQmckwe8L,10189028,10
1KqATutpxQjiTYukFC3CjtQH2c8EibJUad42SVG8Vi8BMxc,10189022,5
15o2MWCswczzv3BRwe8jAnWzCFpCCrjYtSWz8WRZyrbr1cp2,10188988,459.7
1bjkPJ3YsGaZWoZBL7BhmmcpYiNWhGcx1nKCMLwaKR6iJEZ,10188934,5
14EFBMwdhA5mgwPA5PmeNnuCdFqFm1iNy5HTVYikbKNwidS2,10188930,119
12pveVa6g97U7z5uK89fWNfNKpduzJeqPhtsU4PiiohKeUza,10188899,125
14DKWGfadDeYQpUWHySWdQboKoLFtrgMd9f12AFTi5y6ZZ8W,10188795,137
1Ep6VceD2WCVwB116eDP6nozSgyxSWWpE2HcECyJFK4fQ3M,10188766,20
15DRqTqd7FGmdxqQvfMLUNTC2m5Dp319k1iJc6YLoWxLZmpY,10188742,5
16PABfFqh4aEk89NWaKYntmkDYG4avVvVyVNA1tm795FjLsr,10188720,10
121jcddzr57sM36LR8DmPkufCATzWVUjvvrJzUktMj3NCZkw,10188695,5
16ih8PXNXWj48HZzAfaGibhhT3yTCBnsZMRdWXp3f8CwAp1e,10188675,2511
13bhDb9hQ3gf7RBijp5asEmsWKFgPr7ctso2WrGWGtn7RzBS,10188649,10
14ihGJD1BgKfQYzwdFpoh2pJADpuU5nnrH4u3KXHPbRoVEKe,10188622,5
13TZJ3Sc5LeyeGGDMYyHwjFs71xGwaJckkTKegN7v3ERZACf,10188579,5
14j7KDYVrzqaDwGt6iufBsuMjcRuEnyKGpahqQpuuWoFVRxD,10188562,5
16CqwZWLDGwRZs2EhNvHQYQsD2hVEbEvjgG2dRyGbL5ryBtu,10188509,5
14pZfyYvZissZbz6Ln3cu5uib4mPeQzZiW2MfHWPCmBWrkkj,10188508,20
1688fhidtvrnk9RJh4tY9e7Hio6c5wuqnkdrThU61d1e7BKR,10188494,100
16karGmJ7Na7BASTgREejejyynMEMxMRf1tFzTodZPVRqBdK,10188493,36
129qXvgaML38hM8mAiq8tfdTw4P9VLoZHCCRdn5VTYDkswHn,10188448,140
14aWiTGLux2rTnkWHAR4VRvJJjLXk7xGhK6drixeC9ut3ogd,10188342,6.5
13gsAGP7RZsCGfPac5knmxvA4U7SQgeQ6FBL5gJNtvYQmPRb,10188331,20
13m4dJG1c22A8dZBp1B8jjWhkqb4wSJiw3hq4oGgHgAyesHS,10188299,5
13GxETk2ktdJzHCYpxfGNKqLhwJDTwgr6aZJf7SzUUkZzQ31,10188292,31
16ZiStShkJvdwY3Vf6tNFqnuKDyENwsvRo9BdvQb2uJTDK7k,10188263,30
13GU2JyadZrTJYiDuo3u3mtXPyy7v9xSZTQNitWark6NGPJt,10188259,1000
12zsehh4gzeZjPUULXMkwVZQWViQrkrfZGv2b7Tv8xm86MrU,10188169,5
12BmXJe5SYyzWEiN5Ub3N2Ce7yvVMSxNgYPYKdWY9ZGtKLn5,10188151,10
13wNbioJt44NKrcQ5ZUrshJqP7TKzQbzZt5nhkeL4joa3PAX,10188120,505654.5762
123WpR1d4uMdKAochxuHdohTU3vp62aAPzvP45rsb1MLzZNd,10188120,10
16PvvAMrmeFqBH6VWTPTeX1P9nDTQWSYZiwQfkMPYNG6LEaD,10188104,5
16mAjKmHzztUa39eaBZMrqUj8BmV1rXAHgeUgBtQvVgvkC5u,10188058,10
15kgZVVEfoAN3UVkdsrr2M5kMo5z4AbJ5bVWMEc4mp6JPvvD,10188058,5
15JxdAbrHjFBVrKj3Yor1AB829y58j5wJWLuHMQK9bZJkujf,10188009,25.7
16cqwcxDL8ANxknYvrYX7vAAMFAyc8fLhwEmV2ujF8bMMKXf,10187974,505
